author_name,3gram1,3gram2,3gram3
emrahizci,merge branch master,branch master of,master of httpsgithubcomzulalanotes
deno-drash-docs-ci,merge branch master,branch master of,master of httpsgithubcomdrashlanddenodrashdocs
deno-drash-docs-ci,staging build wed,build wed jan,wed jan 1
Jesse Millar,conferting ints to,ints to strings,to strings properly
A-ee,merge branch master,branch master into,master into master
A-ee,merge pull request,pull request 1,request 1 from
Simon H Moore,save syncthing output,syncthing output to,output to log
Simon H Moore,merge branch master,branch master of,master of githubcomsimonhughcomdotfiles
James Harrison,add results for,results for commit,for commit d5fc15846ba477d0d90ec033dce5b8d4328634a1
Peter Eisentraut,modernize python exception,python exception syntax,exception syntax in
Commitfest Bot,cf 262176 fetch,262176 fetch first,fetch first clause
Pierre Hunault,improve performance when,performance when exporting,when exporting strategic
Michael Dickens,cppunit update to,update to 1151,to 1151 remove
Fred Wright,pycairo add versions,add versions 26,versions 26 32
Fred Wright,pygobject3 add versions,add versions 32,versions 32 33
Fred Wright,adds port pysetuptools29,port pysetuptools29 this,pysetuptools29 this is
Fred Wright,changes py32nose pysetuptools,py32nose pysetuptools dependency,pysetuptools dependency to
Fred Wright,revert python2531 removed,python2531 removed this,removed this reverts
Fred Wright,revert python24doc removed,python24doc removed this,removed this reverts
Fred Wright,revert remove python23,remove python23 this,python23 this reverts
Fred Wright,revert langpython21 langpython22,langpython21 langpython22 this,langpython22 this reverts
Fred Wright,pyserial adds back,adds back py34,back py34 tested
Enmotus-Dave-Cohen,merge branch master,branch master of,master of httpsgithubcomdavidcohendiskspd
David Cohen,merge pull request,pull request 20,request 20 from
David Cohen,merge pull request,pull request 21,request 21 from
Andrey Castro,pushpin pinning odoo,pinning odoo docker,odoo docker image
Danilo Margarido,dont install recommended,install recommended packages,recommended packages alongside
Raj Kadam,blockmodo housekeeping coin,housekeeping coin count,coin count update
Dongbo Wang,preserve the savedcurrentline,the savedcurrentline and,savedcurrentline and currenthistoryindex
Leonard Shen,updated colors and,colors and chart,and chart height
Michael Dickens,cppunit update to,update to 1151,to 1151 remove
MitchellMarkGeorge,finnaly figured out,figured out ui,out ui strategy
Timur Mishiev,automatically backed up,backed up by,up by learn
Travis,autosave testing for,testing for ultimate,for ultimate hosts
despottt,put code that,code that worked,that worked where
Chelle Gentemann,updated to include,to include aviso,include aviso instead
WillHoll,small change to,change to sweet,to sweet alert
trimstray,minor fix external,fix external resources,external resources signedoffby
Justin Mooney,fix eslint react,eslint react version,react version not
li-xie,modified to allow,to allow number,allow number of
Darren Smith,updated package version,package version to,version to 011
SandeepAmarnath,merge branch master,branch master into,master into master
SandeepAmarnath,merge pull request,pull request 2,request 2 from
Danilo Margarido,set e to,e to improve,to improve robustness
ericmassara,merge branch master,branch master of,master of httpsgithubcomericmassaraericmassaragithubio
Dominik Wilkowski,updated dependencies fixed,dependencies fixed nuke,fixed nuke script
Mike Aleksiuk,get to test,to test 17,test 17 by
A-312,add documentation about,documentation about custom,about custom getter
Mubaraq Wahab,merge branch manage2,branch manage2 into,manage2 into manage
Mubaraq Wahab,change comment to,comment to html,to html type
Davis Junior,completed password request,password request and,request and password
John Leider,chorereadme update information,update information for,information for root
rmcaves,merge branch master,branch master of,master of githubcomrmcavesmultidockers
Christopher Sannar,another update still,update still working,still working on
zqf,tagging cells that,cells that are,that are the
TagawaHirotaka,merge pull request,pull request 129,request 129 from
Michel Heily,wip optimize gbaframe,optimize gbaframe profiling,gbaframe profiling gbaframe
Josh Bielick,use correct gemfile,correct gemfile when,gemfile when running
Arne Roomann-Kurrik,remove grunt from,grunt from build,from build process
Kailana Kahawaii,automatically backed up,backed up by,up by learn
Rommel Haynes,automatically backed up,backed up by,up by learn
Murata Gulube,take 3 back,3 back to,back to take
guangcheng139,merge branch master,branch master of,master of httpsgithubcomw190601jdev3
Martin Siggel,build tixi for,tixi for python,for python 37
Tanner,last commit before,commit before handling,before handling scanner
Spencer Wood,allow one to,one to increase,to increase the
Damian Morgan,updated the rest,the rest of,rest of the
Yang Zhang,use bin as,bin as binary,as binary extension
KWhiting,dynamically add and,add and remove,and remove folder
Max Kuhn,move back to,back to using,to using procroc
Christian Urich,make loading of,loading of modules,of modules work
Rajab Natshah,fix get file,get file from,file from url
Niclas Olofsson,return alternative root,alternative root tag,root tag not
Jennifer Huang,blog refine format,refine format issues,format issues for
Jennifer Huang,blog add blog,add blog on,blog on pulsar
Jia Zhai,fix 5825 make,5825 make pulsarclustermetadatasetup,make pulsarclustermetadatasetup idempotent
SakaSun,issue 5857helm chart,5857helm chart support,chart support to
Jia Zhai,fix some typos,some typos 5889,typos 5889 fix
Fred Eisele,added catch for,catch for noclassdeffounderror,for noclassdeffounderror wherever
tuteng,pulsar client toolssupport,client toolssupport generate,toolssupport generate documentation
Jerry Fan,avoid unsafe split,unsafe split when,split when validate
huangdx0726,issue 5612 use,5612 use reactivestreams,use reactivestreams client
tuteng,issue 5832pulsar iofix,5832pulsar iofix npe,iofix npe of
cckellogg,use bookiemem and,bookiemem and bookiegc,and bookiegc env
冉小龙,issue5669 fix the,fix the ledgerid,the ledgerid not
Matteo Merli,added zookeepersnapshottrustemptytrue for,zookeepersnapshottrustemptytrue for zk,for zk 35
lipenghui,fix read 0,read 0 entries,0 entries cause
lipenghui,fix wrong redelivery,wrong redelivery count,redelivery count while
Anonymitaet,blog pulsar milestone,pulsar milestone celebration—200,milestone celebration—200 contributors
Nathan Mills,functions added default,added default metrics,default metrics for
lipenghui,fix topic owner,topic owner check,owner check while
Ali Ahmed,downgrade maven for,maven for license,for license check
Rommel Haynes,automatically backed up,backed up by,up by learn
Bangqi Xu,conservative macro pa,macro pa initial,pa initial fix
Michael W. Olesen,merge pull request,pull request 12,request 12 from
Zoom.Quiet,upgradeplanet auto by,auto by crontab,by crontab from
Zachary Spector,add another test,another test for,test for compound
Cameron,merge pull request,pull request 3,request 3 from
Kevin Nowaczyk,field is an,is an array,an array key
Bjoern Kerler,port to gnuradio,to gnuradio 38,gnuradio 38 and
seatacken,working on new,on new counter,new counter functionality
Blandine12,merge pull request,pull request 24,request 24 from
harlenlopez,merge branch master,branch master into,master into lab2
taylor,more changes to,changes to enable,to enable proper
Guangde Wang,leetcode198 is equivalent,is equivalent to,equivalent to leetcode
Franck Nijhof,migrate input tests,input tests from,tests from coroutine
Edwin Lee,major change to,change to memory,to memory management
github username,modify date output,date output format,output format for
Darien,add files via,files via upload,via upload first
Melanie McGlynn,automatically backed up,backed up by,up by learn
jenkins-x-bot,publishing files for,files for path,for path jenkinsxlogscbkubecdenvironmentpr120102gkeupgradedevpr21log
olos00,commit adds solutions,adds solutions to,solutions to fizzbuzz
aqi-moscun,update file at,file at 20200101,at 20200101 004250
Albert,update to use,to use sendjson,use sendjson 1
acat122,update readmemd and,readmemd and mention,and mention moon
Brokalys bot,monthly data house,data house sell,house sell latvia
Marc Fors,controller for a,for a web,a web service
Andrew Capp,automatically backed up,backed up by,up by learn
Inna Nikolenko,added new relic,new relic and,relic and setting
Banks T,ci setup 2,setup 2 create,2 create gradleyml
TAC,site updated at,updated at 20200101,at 20200101 004417
Renovate Bot,choredeps update dependency,update dependency conventionalchangelogcli,dependency conventionalchangelogcli to
jason chen,add jp voc,jp voc zen,voc zen docx
wigforss,mavenreleaseplugin prepare for,prepare for next,for next development
AdrianValenciaSantos,final updates for,updates for mobile,for mobile format
vincenira,adding the changelog,the changelog and,changelog and logic
vincenira,merge branch master,branch master of,master of httpsgithubcomvinceniratutorialgithub
AndresFDaza,sencilla modificacion sonido,modificacion sonido en,sonido en el
Spencer Wood,variable timetowait for,timetowait for test,for test harness
Ladinu Chandrasinghe,remove few sideeffecting,few sideeffecting nullary,sideeffecting nullary methods
Ladinu Chandrasinghe,merge pull request,pull request 148,request 148 from
Spencer Wood,merge branch master,branch master of,master of githubcomoraclewookiee
Robert Scott,pythonpackagesunicorn redesign to,redesign to become,to become a
mestizoLopez,adding new methods,new methods for,methods for http
Artur Souza,unit tests for,tests for actormanager,for actormanager fixes
andres.robles,refactoring http client,http client to,client to follow
Jeff Linahan,gave shrinktree delete,shrinktree delete verts,delete verts on
silan,make function for,function for grph,for grph in
harlenlopez,merge branch master,branch master into,master into lab2
harlenlopez,merge pull request,pull request 25,request 25 from
zqf,created basic files,basic files for,files for grid
zqf,implemented very basic,very basic drunken,basic drunken walk
zqf,improving on drunken,on drunken walk,drunken walk implementation
zqf,drunken walk now,walk now takes,now takes its
zqf,changed char on,char on cells,on cells to
zqf,tagging cells that,cells that are,that are the
zqf,merge branch procgen,branch procgen into,procgen into development
ehuan2,added classes that,classes that are,that are needed
kimsungjin,issue82 10430번 나머지,10430번 나머지 10430번,나머지 10430번 나머지
tjdwls3469,merge pull request,pull request 171,request 171 from
Soljian / Sheaven,ajout fonctions slots,fonctions slots integration,slots integration avec
wrkzdev,http client retry,client retry on,retry on socket
wrkzdev,resolved error in,error in transaction,in transaction input
CarlosCastillo10,comentando la linea,la linea 32,linea 32 de
Thomas Wright,automatically backed up,backed up by,up by learn
Collin Mitchell,finished section still,section still life,still life drawing
Danilo Margarido,upgrade to 1904,to 1904 since,1904 since it
jenkins-x-bot,publishing files for,files for path,for path jenkinsxlogscbkubecdbddspring1577838517pr11log
skyblockz,automated database update,database update changes,update changes changed
Benjamin Cane,moving to afterfunc,to afterfunc which,afterfunc which should
Benjamin Cane,merge pull request,pull request 2,request 2 from
Treee,fixed position issue,position issue with,issue with emotes
Tim Kim,pushed blue circle,blue circle zindex,circle zindex up
Tim Kim,merge pull request,pull request 31,request 31 from
Danilo Margarido,travis comment unused,comment unused variables,unused variables and
Behnam Ebrahimi,run tests once,tests once and,once and finish
Junwon,handled getting comments,getting comments the,comments the decending
Junwon,handled error message,error message of,message of showing
skyblockz,auto alias database,alias database update,database update changes
Anthony Gedeon,deleted code and,code and now,and now i
Nicholas,updated loot run,loot run command,run command messages
Rae,updates to docker,to docker and,docker and nginx
Rae,updates from test,from test branch,test branch to
Ri Xin Yang,automatically backed up,backed up by,up by learn
Ben Rousch,remove references to,references to google,to google plus
id405,made tabes take,tabes take up,take up multiple
Thomas Wright,automatically backed up,backed up by,up by learn
eileen,add test on,test on buildmembershiptypevalues,on buildmembershiptypevalues cleanup
Mounaiban,disable html escape,html escape in,escape in editor
Mounaiban,add usage instructions,usage instructions for,instructions for intro
Mounaiban,fix handling of,handling of html,of html unescape
Mounaiban,fix usage of,usage of the,of the term
Nikita Patlay,merge branch master,branch master of,master of httpsgithubcompnikitasstarnavitestproject
Aldrin,update linear models,linear models logistic,models logistic regressionipynb
Ralf Barkow,pluginproperties must be,must be located,be located in
AndresFDaza,sencilla modificacion sonido,modificacion sonido en,sonido en el
Justin,added ui to,ui to multitracker,to multitracker added
Ross Chapman,2020 update copyright,update copyright date,copyright date update
Pierre Hunault,improve performance when,performance when exporting,when exporting strategic
Vivian L,merge pull request,pull request 71,request 71 from
Bao,merge branch master,branch master of,master of httpsgithubcomosucsdosucsducsdedu
Bao Hoang,merge pull request,pull request 72,request 72 from
Bao Hoang,merge pull request,pull request 73,request 73 from
Bao Hoang,merge pull request,pull request 74,request 74 from
Bao,merge branch master,branch master of,master of httpsgithubcomosucsdosucsducsdedu
Bao Hoang,merge pull request,pull request 75,request 75 from
Bao Hoang,merge pull request,pull request 76,request 76 from
Bao Hoang,merge pull request,pull request 77,request 77 from
brendan,merge branch master,branch master of,master of httpsgithubcomosucsdosucsducsdedu
blau0123,merge pull request,pull request 78,request 78 from
Bao Hoang,merge pull request,pull request 79,request 79 from
Hanna Alemu,merge pull request,pull request 2,request 2 from
Danilo Margarido,travis uncomment those,uncomment those variables,those variables apparently
Marc Ferland,had to downgrade,to downgrade to,downgrade to node
Grant,target doesnt take,doesnt take in,take in add
Grant,trying to add,to add loading,add loading notifications
Grant,loading works on,works on both,on both sections
Grant,minor changes working,changes working on,working on lazy
Grant,using async await,async await must,await must fix
Grant,cleaned up make,up make call,make call function
Grant,making separate searches,separate searches for,searches for different
Grant,split search bar,search bar in,bar in to
Grant,event categories json,categories json file,json file added
Grant,made and event,and event category,event category search
Grant,some changes and,changes and exported,and exported api
Grant,changed api names,api names and,names and moved
Grant,trying to add,to add separate,add separate logic
Alex-Au1,update and rename,and rename changeprofilecss,rename changeprofilecss to
Alex-Au1,delete checkprofilescss the,checkprofilescss the asynchronous,the asynchronous pages
Alex-Au1,updated to match,to match the,match the styles
Alex-Au1,already implemented changes,implemented changes to,changes to changeprofilephp
Alex-Au1,moved customercpanelcss to,customercpanelcss to its,to its correct
Alex-Au1,already implemented code,implemented code to,code to selectwaccountscss
Alex-Au1,update and rename,and rename changeaccountscss,rename changeaccountscss to
Alex-Au1,changed to fit,to fit the,fit the new
Alex-Au1,already implemented code,implemented code to,code to changeaccountsphp
Alex-Au1,merge branch changepages,branch changepages into,changepages into development
Alex-Au1,merge pull request,pull request 89,request 89 from
Roger Chapman,remove window arrangements,window arrangements in,arrangements in iterm
David Qiu,update the tqdm,the tqdm descriptions,tqdm descriptions in
David Qiu,merge branch featurefiltertopics,branch featurefiltertopics into,featurefiltertopics into dev
David Qiu,add documentation for,documentation for picktopics,for picktopics and
David Qiu,merge branch featurefiltertopics,branch featurefiltertopics into,featurefiltertopics into dev
David Qiu,merge pull request,pull request 4,request 4 from
sMash0,finish readme and,readme and mention,and mention gods
Burak Ozarslan,added flake8 and,flake8 and travisci,and travisci configuration
Darnell,limits on when,on when follows,when follows and
pentarctagon,remove windowstimeoutcpp and,windowstimeoutcpp and related,and related this
CJXDBot,choredeps bump httpsgithubcomcbkubecdbddspring1577839158git,bump httpsgithubcomcbkubecdbddspring1577839158git command,httpsgithubcomcbkubecdbddspring1577839158git command run
cjxd-bot-test,merge pull request,pull request 2,request 2 from
Renovate Bot,update dependency reactsyntaxhighlighter,dependency reactsyntaxhighlighter to,reactsyntaxhighlighter to v12
Safia Abdalla,merge pull request,pull request 4770,request 4770 from
Tim Kim,pushed blue circle,blue circle zindex,circle zindex up
Tim Kim,merge pull request,pull request 31,request 31 from
Tim Kim,merge pull request,pull request 32,request 32 from
Priz,all current files,current files have,files have been
bozhidar.slavov,register panel edited,panel edited using,edited using angular
Jeff Linahan,gave shrinktree delete,shrinktree delete verts,delete verts on
Jeff Linahan,merge branch master,branch master of,master of httpsgithubcomjeffythedragonslayerliptontarjan
joshith,enhancement to honor,to honor strategies,honor strategies to
Eric Crooks,staging merge branch,merge branch master,branch master into
Eric Crooks,staging merge branch,merge branch master,branch master into
Eric Crooks,staging merge branch,merge branch master,branch master into
Eric Crooks,merge pull request,pull request 10,request 10 from
Eric Crooks,staging merge branch,merge branch master,branch master into
Eric Crooks,teststagingci merge branch,merge branch staging,branch staging into
Eric Crooks,merge pull request,pull request 11,request 11 from
Eric Crooks,merge pull request,pull request 12,request 12 from
